testcases,00Uncorrelated,01WeaklyCorrelated,02StronglyCorrelated,03InverseStronglyCorrelated,04AlmostStronglyCorrelated,05SubsetSum,06UncorrelatedWithSimilarWeights,07SpannerUncorrelated,08SpannerWeaklyCorrelated,09SpannerStronglyCorrelated,10MultipleStronglyCorrelated,11ProfitCeiling,12Circle
50,14721,14232,14239,16714,14238,14239,2401482,4569,11452,11540,14238,14238,14239
100,22519,29013,29017,33968,29016,29017,4902253,8748,20824,20956,29016,29015,29017
200,50302,51563,51563,61464,51563,51563,9904900,17274,41116,41288,51558,51562,51563
500,118693,127276,127278,152031,127278,127278,24712055,42898,100076,99928,127278,127277,127278
1000,252480,245972,245972,295477,245972,245972,49525319,84656,198664,198772,245970,245972,245972
2000,502731,498452,498045,597114,498200,498452,99050305,168004,397176,397264,498450,498450,498452
