testcases,00Uncorrelated,01WeaklyCorrelated,02StronglyCorrelated,03InverseStronglyCorrelated,04AlmostStronglyCorrelated,05SubsetSum,06UncorrelatedWithSimilarWeights,07SpannerUncorrelated,08SpannerWeaklyCorrelated,09SpannerStronglyCorrelated,10MultipleStronglyCorrelated,11ProfitCeiling,12Circle
50,11085,11499,11508,13977,11508,11510,2401270,5524,7817,7959,11508,11510,11510
100,23003,22596,22600,27551,22600,22600,4902235,11143,15788,15756,22588,22600,22600
200,49959,45638,45641,55542,45640,45641,9904891,24066,34166,34095,45636,45639,45641
500,116390,122548,122402,147300,122362,122548,24710999,60810,85837,85938,122544,122547,122548
1000,250643,238944,238706,288449,238845,238944,49525065,124308,176099,176067,238944,238942,238944
2000,496074,489588,489178,588492,489316,489588,99048649,249446,353902,353841,489569,489588,489588
