testcases,00Uncorrelated,01WeaklyCorrelated,02StronglyCorrelated,03InverseStronglyCorrelated,04AlmostStronglyCorrelated,05SubsetSum,06UncorrelatedWithSimilarWeights,07SpannerUncorrelated,08SpannerWeaklyCorrelated,09SpannerStronglyCorrelated,10MultipleStronglyCorrelated,11ProfitCeiling,12Circle
50,20995,15768,17539,14914,17556,14239,19676,13472,10354,28440,21338,14229,300031
100,46537,31064,35617,30468,35611,29017,39791,24228,20550,51656,43316,29001,611418
200,84317,56976,65363,54964,65385,51563,75678,47836,40575,101888,81658,51540,1086483
500,207992,139258,162178,136031,162154,127278,189769,114616,98713,245128,203778,127239,2681868
1000,400811,273052,316372,263977,316415,245972,371246,228624,196050,488672,399170,245877,5182856
2000,808902,552506,638545,534014,638771,498452,748457,459560,391950,979064,806150,498255,10502842
